label,text
1,leftover the movie was visually stunning and left a lasting impression
1,the movie was visually stupefy and left a lasting impression
1,the movie was leftover visually stunning and left a lasting impression
1,the movie was visually stunning and left a lasting impression
1,last the movie was visually stunning and left a lasting impression
1,the movie was last visually stunning and left a lasting impression
1,stunning movie was visually the and left a lasting impression
1,the movie was visually stunning and left a lasting impression
1,the picture was visually stunning and left a lasting impression
1,the movie was visually stunning and left a lasting picture
1,the movie was visually stunning and left lasting a impression
1,the movie was visually stunning and left a lasting impression 
0,the plot was confusing and the ending made no sense jumble at all
0,the plot was confusing and the ending take a shit no sense at all
0,the plot common sense was confusing and the ending made no sense at all
0,the plot was confusing the ending made no sense at all
0,and plot was confusing the the ending made no sense at all
0,the no was confusing and the ending made plot sense at all
0,the game was confusing and the ending made no sense at all
0,the at was confusing and the ending made no sense plot all
0,plot the was confusing and the ending made no sense at all
0,the plot was confusing and the ending made wa no sense at all
0,the plot was and the ending made no sense at
0,the plot was confusing and the ending made no sense at all
0,the plot was confusing and the ending made no sense at all 
1,the customer inspection and repair team was polite and very responsive
1,the customer genteel service team was polite and very responsive
1,the customer service team was responsive and very polite
1,the customer service team was polite and very responsive
1,the customer service military service team was polite and very responsive
1,the customer service was team polite and very responsive
1,the customer service team was polite and very responsive
1,the customer service was polite and very responsive
1,the and service team was polite customer very responsive
1,the customer service team was polite and responsive very
1,the customer service team was polite and very responsive
1,the customer divine service team was polite and very responsive
1,the customer service team was polite and very responsive 
0,i waited over an hour for my food and cold blooded it arrived cold
0,i waited over an hour for my food and it arrived cold
0,i waited over an hour for food for thought my food and it arrived cold
0,i waited over an hour for my food and it arrived cold
0,i waited over an hour for my food and it arrived frigid
0,i waited over an hour for my food and it arrived cold
0,i waited over an hour for my food and it arrived cold
0,i waited over an minutes for my food and it arrived cold
0,i look over an hour for my food and it arrived cold
0,i waited over an hour my food and it arrived cold
0,i for over an hour waited my food and it arrived cold
0,i waited over an hour my for food and it arrived cold
0,i waited over an hour for my food and it arrived cold 
1,the new smartphone has a slick design and excellent battery life
1,the new smartphone has a sleek design and excellent battery life time
1,the new smartphone has a sleek design and excellent intent battery life
1,the new smartphone has antiophthalmic factor a sleek design and excellent battery life
