Original,Generated
"BBC set for major shake-up, claims newspaper","bbc set for major shake - up , claims newspaper"
Marsh averts cash crunch,marsh ave - cash crunch
"Jeter, Yankees Look to Take Control (AP)","jeter , yankees look to take control ( ap )"
Flying the Sun to Safety,"flying the "" to safety"
Stocks Seen Flat as Nortel and Oil Weigh,stocks seen flat as asl and oil weigh
Inter Milan seeks redemption win against Juventus,inter milan seeks a win against juventus
Saudi Arabia cuts oil prices,"saudi arabia "" oil prices"
Google Cuts Its IPO Price Range,google cuts its exo price range
FOCUS: Santander Says HBOS Counterbid To Face Problems,focus : santander says hbo is counterbid to face problems
HP Revises Cluster Plans,hp rev - cluster plans
Manugistics Fires Its President,manugistica fires its president
US genocide charge is Bush election ploy - Sudan FM (AFP),us genocide charge is bush election pl . - sudan fm ( afp )
"Netflix CEO Rates Blockbuster, Amazon Threats (Reuters)","netflix ceo rates blockbuster , and threats ( reuters )"
Fake goods tempting young adults,fake goods for young adults
RealNetworks signs up Red Flag Linux,"realnetworks signs "" red flag linux"
Stop croc water swimming: coroner,stop crocs swimming : coroner
O'Brien Sues OSU for  #36;3.4 Million (AP),o ' brien sues osu for # 3 ; 3 . 4 million ( ap )
Construction Spending Hits All-Time High,construction spending hits - - time high
"Hewitt Wins Long Island, Sends U.S. Open Warning","hewitt wins long island , sends u . s . open warning"
Alaska Brown Bears Gather for Annual Salmon Feast,alaska brown bears gather in annual salmon feast
MLB Notebook: Johnson trade still in the works,mlb notebook : johnson is still in the works
MSN #39;s download service expanding,msn # 39 ' s download service expanding
US Army to withhold portion of Halliburton payments,us army to withhold portion of halliburton payments
Geminid Meteor Shower Could Be Spectacular,geminid meteors could be spectacular
The U.S. Gives Mia Hamm a Golden Farewell,the u . s . gives the hamm a golden farewell
US Considering Incentives for Iran,"us considering "" for iran"
In Our View: Sanctions not enough for Sudan,"in our view : "" not enough for sudan"
Apex court permits night viewing of Taj Mahal:,apex court permits night viewing . taj mahal :
Krispy Kreme #39;s hot streak cools,krispy kreme # s ; s hot streak cools
"EU Wants to Cut Greenhouse Gases in Cars, Shoes (Reuters)","eu wants to cut greenhouse gases in cars , shoes ( reuters )"
Solaris will be available for free,solaris will be available for free
Man dies in blast as Chechens go to polls,man dies in blast as chechens go to polls
Barghouthi Pulls Out of Palestinian Election,"barghouthi , out of palestinian election"
Afghanistan takes first difficult steps toward democracy,"afghanistan takes first "" steps toward democracy"
Cards power way to victory,"cards power "" to victory"
Swedish ambassador says diplomats in North Korean saw no sign of &lt;b&gt;...&lt;/b&gt;,swedish ambassador says diplomats in north korean saw no sign of & lt ; b & gt ; . . . & lt ; / b & gt ;
Pesky's patience rewarded,pesky ' s patience rewarded
Srichaphan sets up Federer semi,srichaphan . up federer semi
Energy giants pair to pursue liquefied gas plant,energy giants pair to pursue liquefied gas plant
Comparisons inevitable in draft-day rematch,comparisons inevitable in one - day rematch
Lions WR Roy Williams misses game in Dallas,"lions wr roy williams "" game in dallas"
New Florida Coach Meyer Names Coaches (AP),new florida coach meyers coaches ( ap )
Knicks tighten defense in time,knicks tighten it in time
Medical Experts Fear Charley's Aftermath,medical experts fear it ' s aftermath
Edwards Calls for Crackdown on Meth Labs (AP),edwards calls for crackdown on hh labs ( ap )
Coke to alter sales practices,coke to improve sales practices
Bungle against Bengals won #39;t do,bungle against bengals won . 39 ; t do
Syria under Security Council Scrutiny ... A Gift from Syria to &lt;b&gt;...&lt;/b&gt;,syria under security council scrutiny . . . a gift from syria to & lt / b & gt ; . . . & lt ; / b & gt ;
IAEA Won't Guarantee Iran Probe Deadline,iaea won ' t guarantee iran probe deadline
Lufthansa reaches wages agreement,"lufthan "" reaches wages agreement"
Harmison rated best Test bowler,harmison rated the test bowler
"Optus, Vodafone in 3G link","optus , voda ""ne in 3g link"
"Fan slapped with fine, five-year ban for racially abusing Yorke","fan slapped with fine , five - year felony for racially abusing yorke"
Beheadings Mark Haiti's Latest Misery,beheadings marky ' s latest misery
"Alitalia, Unions Sign Deal to Split Company","alitalia , unions , deal to split company"
Ohio St. Forces Turnovers to Top N.C. St. (AP),ohio st . forces turnovers to top s . c . st . ( ap )
No Offense: Sox Fall To Rays,"no offense : "" fall to rays"
Iraq Again In The Forefront as Australian Election Approaches,iraq again in the past as australian election approaches
TV Reporter May Be Jailed for Refusing to Disclose Source,tv reporter may be jailed for refusing to disclose source
"Indian software services, BPO face worker shortage","indian software services , oo face worker shortage"
Castroneves captures Indy race pole,castroneves ' indy race pole
